"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Acta Math.","Acta Mathematica","","Inst. Mittag-Leffler, Djursholm.","0001-5962","N","Y","N"
"Acta Math. Acad. Paedagog. Nyhazi. (N.S.)","Acta Mathematica. Academiae Paedagogicae Nyiregyhaziensis. New Series","","Coll. Nyhaza., Nyiregyhaza.","1786-0091","N","Y","N"
"Acta Math. Appl. Sin.","Acta Mathematicae Applicatae Sinica. Yingyong Shuxue Xuebao","","Chinese Math. Soc., Beijing.","0254-3079","N","Y","N"
"Acta Math. Appl. Sin. Engl. Ser.","Acta Mathematicae Applicatae Sinica. English Series","","Springer, Heidelberg.","0168-9673","N","Y","N"
"Acta Math. Hungar.","Acta Mathematica Hungarica","","Akad. Kiado, Budapest.","0236-5294","N","Y","N"
"Acta Math. Sci. Ser. A (Chin. Ed.)","Acta Mathematica Scientia. Series A. Shuxue Wuli Xuebao. Chinese Edition","","Kexue Chubanshe (Science Press), Beijing.","1003-3998","N","Y","N"
"Acta Math. Sci. Ser. B (Engl. Ed.)","Acta Mathematica Scientia. Series B. English Edition","","Sci. Press Beijing, Beijing.","0252-9602","N","Y","N"
"Acta Math. Sin. (Engl. Ser.)","Acta Mathematica Sinica (English Series)","","Springer, Berlin.","1439-8516","N","Y","N"
"Acta Math. Sinica (Chin. Ser.)","Acta Mathematica Sinica. Chinese Series","","Chinese Math. Soc., Acta Math. Sinica Ed. Comm., Beijing.","0583-1431","N","Y","N"
"Acta Math. Univ. Comenian. (N.S.)","Acta Mathematica Universitatis Comenianae. New Series","","Comenius Univ. Press, Bratislava.","0862-9544","N","Y","N"
"Acta Math. Vietnam.","Acta Mathematica Vietnamica","","Vietnam. Acad. Sci. Technol., Inst. Math., Hanoi.","0251-4184","N","Y","N"
"Acta Mech.","Acta Mechanica","","Springer, Vienna.","0001-5970","N","N","N"
"Acta Mech. Sin.","Acta Mechanica Sinica","","Springer, Berlin.","0567-7718","N","N","N"
"Acta Numer.","Acta Numerica","","Cambridge Univ. Press, Cambridge.","0962-4929","N","Y","N"
"Acta Phys. Polon. B","Jagellonian University. Institute of Physics. Acta Physica Polonica B","","Jagellonian Univ., Krakow.","0587-4254","N","N","N"
"Acta Sci. Math. (Szeged)","Acta Universitatis Szegediensis. Acta Scientiarum Mathematicarum","","Univ. Szeged, Szeged.","0001-6969","N","Y","N"
"Acta Sci. Natur. Univ. Intramongolicae","","","","","Y","N","N"
"Acta Sci. Natur. Univ. Pekinensis","","","","","Y","N","N"
"Acta Sci. Natur. Univ. Sunyatseni","Acta Scientiarum Naturalium Universitatis Sunyatseni. Zhongshan Daxue Xuebao. Ziran Kexue Ban","","J. Zhongshan Univ., Editor. Dept., Guangzhou.","0529-6579","N","N","N"
"Acta Tech.","Acta Technica","","Inst. Thermomech. AS CR, v.v.i., Prague.","0001-7043","N","N","N"
"Acta Univ. Apulensis Math. Inform.","Acta Universitatis Apulensis. Mathematics. Informatics","","``1 Dec. 1918'' Univ. Alba Iulia, Dep. Math. Inform., Alba Iulia.","1582-5329","N","N","N"
"Acta Univ. M. Belii Ser. Math.","Acta Universitatis Matthiae Belii. Series Mathematics","","Sci. Res. Inst. Matej Bel Univ., Banska Bystrica.","1338-712X","N","Y","N"
"Acta Univ. Palack. Olomuc. Fac. Med.","Acta Universitatis Palackianae Olomucensis Facultatis Medicae","","Statni Ped. Naklad., Prague.","","Y","N","Y"
"Acta Univ. Palack. Olomuc. Fac. Rerum Natur. Math.","Acta Universitatis Palackianae Olomucensis. Facultas Rerum Naturalium. Mathematica","","Palacky Univ. Olomouc, Olomouc.","0231-9721","N","Y","N"
"Acta Univ. Sapientiae Math.","Acta Universitatis Sapientiae. Mathematica. An International Scientific Journal of Sapientia University","","Acta Univ. Sapientiae Math., Cluj-Napoca.","1844-6094","N","N","N"
"Actas Congr. ``Dr. Antonio A. R. Monteiro''","Actas del Congreso ``Dr. Antonio A. R. Monteiro''","Proceedings of ``Dr. Antonio A. R. Monteiro'' Congress of Mathematics","Univ. Nac. del Sur, Bahia Blanca.","0327-9170","N","N","Y"
"ACTEX Acad. Ser.","ACTEX Academic Series","","ACTEX Publ., Winsted, CT.","","N","N","Y"
"ACTEX Prof. Ser.","ACTEX Professional Series","","ACTEX Publ., Winsted, CT.","","N","N","Y"
"Actualites Sci. Agronom. INRA","Actualites Scientifiques et Agronomiques de l'INRA","Current Scientific and Agronomic Topics of the INRA","Masson, Paris.","","Y","N","Y"
"Adapt. Comput. Mach. Learn.","Adaptive Computation and Machine Learning","","MIT Press, Cambridge, MA.","","N","N","Y"
"Adapt. Learn. Optim.","Adaptation, Learning, and Optimization","","Springer, Heidelberg.","1867-4534","N","N","Y"
"Addison-Wesley Ser. Comput. Sci. Inform. Process.","Addison-Wesley Series in Computer Science and Information Processing","","Addison-Wesley, Reading, MA.","","Y","N","Y"
"Addison-Wesley Ser. Math.","Addison-Wesley Series in Mathematics","","Westview, Boulder, CO.","","N","N","Y"
"Addison-Wesley Ser. Statist.","Addison-Wesley Series in Statistics","","Addison-Wesley, Reading, MA.","","Y","N","Y"
"Adv. Appl. Clifford Algebr.","Advances in Applied Clifford Algebras","","Birkhauser Verlag, Basel.","0188-7009","N","N","N"
"Adv. Appl. Math.","Advances in Applied Mathematics","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Adv. Appl. Math. Mech.","Advances in Applied Mathematics and Mechanics","","Glob. Sci. Pr., Hong Kong.","2070-0733","N","N","N"
"Adv. Appl. Math. Sci.","Advances and Applications in Mathematical Sciences","","Mili Publications, Allahabad.","0974-6803","N","N","N"
"Adv. Appl. Pattern Recogn.","Advanced Applications in Pattern Recognition","","Plenum, New York.","","Y","N","Y"
"Adv. Appl. Stat. Sci.","Advances and Applications in Statistical Sciences","","Mili Publications, Allahabad.","0974-6811","N","N","N"
"Adv. CAD VLSI","Advances in CAD for VLSI","","North-Holland, Amsterdam.","","Y","N","Y"
"Adv. Calc. Var.","Advances in Calculus of Variations","","De Gruyter, Berlin.","1864-8258","N","Y","N"
"Adv. Complex Syst.","Advances in Complex Systems. A Multidisciplinary Journal","","World Sci. Publ., Singapore.","0219-5259","N","N","N"
"Adv. Comput. Fluid Dyn.","Advances in Computational Fluid Dynamics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Comput. Intell. Robot. ACIR Book Ser.","Advances in Computational Intelligence and Robotics (ACIR) Book Series","","IGI Global, Hershey, PA.","2327-0411","N","N","Y"
"Adv. Comput. Manag. Sci.","Advances in Computational Management Science","","Springer, Cham.","1388-4301","N","N","Y"
"Adv. Comput. Math.","Advances in Computational Mathematics","","Springer, New York.","1019-7168","N","Y","N"
"Adv. Comput. Sci. Technol.","Advances in Computer Science and Technology","","Springer, Heidelberg.","2198-2686","N","N","Y"
"Adv. Comput. Vis. Pattern Recognit.","Advances in Computer Vision and Pattern Recognition","","Springer, Cham.","2191-6586","N","N","Y"
"Adv. Course Nucl. Eng.","An Advanced Course in Nuclear Engineering","","Springer, Tokyo.","2195-3708","Y","N","Y"
"Adv. Courses Math. CRM Barcelona","Advanced Courses in Mathematics. CRM Barcelona","","Birkhauser/Springer, Basel.","2297-0304","N","N","Y"
"Adv. Data Anal. Classif.","Advances in Data Analysis and Classification. ADAC","","Springer, Berlin.","1862-5347","N","N","N"
"Adv. Data Sci. Adapt. Anal.","Advances in Data Science and Adaptive Analysis","","World Sci. Publ., Singapore.","2424-922X","N","N","N"
"Adv. Decis. Sci.","Advances in Decision Sciences","","Asia Univ., Taichung.","2090-3359","N","N","N"
"Adv. Delays Dyn.","Advances in Delays and Dynamics","","Springer, Heidelberg.","2197-117X","N","N","Y"
"Adv. Des. Control","Advances in Design and Control","","SIAM, Philadelphia, PA.","","N","N","Y"
"Adv. Difference Equ.","Advances in Difference Equations","","Springer, Berlin.","1687-1847","N","Y","N"
"Adv. Differential Equations","Advances in Differential Equations","","Khayyam, West Palm Beach, FL.","1079-9389","N","Y","N"
"Adv. Dyn. Syst. Appl.","Advances in Dynamical Systems and Applications","","Res. India Publ., Delhi.","0973-5321","N","Y","N"
"Adv. Econom.","Advances in Econometrics","","Emerald Group Publ, Ltd., Bingley.","0731-9053","N","N","Y"
"Adv. Exp. Med. Biol.","Advances in Experimental Medicine and Biology","","Springer, Dordrecht.","0065-2598","N","N","Y"
"Adv. Fuzzy Syst.","Advances in Fuzzy Systems","","Hindawi, London.","1687-7101","N","N","N"
"Adv. Geom.","Advances in Geometry","","De Gruyter, Berlin.","1615-715X","N","Y","N"
"Adv. Geophys. Environ. Mech. Math.","Advances in Geophysical and Environmental Mechanics and Mathematics","","Springer, Heidelberg.","1866-8348","N","N","Y"
"Adv. Group Decis. Negot.","Advances in Group Decision and Negotiation","","Springer, Dordrecht.","1871-935X","N","N","Y"
"Adv. Group Theory Appl.","Advances in Group Theory and Applications","","AGTA. Adv. Group Theory Appl. Assoc., [place of publication not identified].","2499-1287","N","Y","N"
"Adv. High Energy Phys.","Advances in High Energy Physics","","Hindawi, London.","1687-7357","N","N","N"
"Adv. Image Comm.","Advances in Image Communication","","Elsevier Sci. B. V., Amsterdam.","","Y","N","Y"
"Adv. in Appl. Math.","Advances in Applied Mathematics","","Elsevier B. V., Amsterdam.","0196-8858","N","Y","N"
"Adv. in Appl. Probab.","Advances in Applied Probability","","Appl. Probab. Trust, Sheffield.","0001-8678","N","Y","N"
"Adv. Ind. Control","Advances in Industrial Control","","Springer, Cham.","1430-9491","N","N","Y"
"Adv. Inf. Knowl. Process.","Advanced Information and Knowledge Processing","","Springer, Cham.","1610-3947","N","N","Y"
"Adv. Intell. Syst. Comput.","Advances in Intelligent Systems and Computing","","Springer, Cham.","2194-5357","N","N","Y"
"Adv. Jpn. Bus. Econ.","Advances in Japanese Business and Economics","","Springer, Tokyo.","2197-8859","N","N","Y"
"Adv. Lect. Math. (ALM)","Advanced Lectures in Mathematics (ALM)","","Int. Press, Somerville, MA.","2379-3589","N","N","Y"
"Adv. Math.","Advances in Mathematics","","Elsevier, Inc., Amsterdam.","0001-8708","N","Y","N"
"Adv. Math. (China)","Advances in Mathematics (China). Shuxue Jinzhan","","Peking Univ. Press, Beijing.","1000-0917","N","Y","N"
"Adv. Math. Commun.","Advances in Mathematics of Communications","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1930-5346","N","Y","N"
"Adv. Math. Econ.","Advances in Mathematical Economics","","Springer, Tokyo.","1866-2226","N","N","Y"
"Adv. Math. Educ.","Advances in Mathematics Education","","Springer, Cham.","1869-4918","Y","N","Y"
"Adv. Math. Fluid Mech.","Advances in Mathematical Fluid Mechanics","","Birkhauser/Springer, Cham.","2297-0320","N","N","Y"
"Adv. Math. Phys.","Advances in Mathematical Physics","","Hindawi, London.","1687-9120","N","Y","N"
"Adv. Math. Sci.","Advances in the Mathematical Sciences","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"Adv. Math. Sci. Appl.","Advances in Mathematical Sciences and Applications","","Gakkotosho, Tokyo.","1343-4373","N","Y","N"
"Adv. Mech. Math.","Advances in Mechanics and Mathematics","","Springer, Cham.","1571-8689","N","N","Y"
"Adv. Mechatron. Mech. Eng. (AMME) Book Ser.","Advances in Mechatronics and Mechanical Engineering (AMME) Book Series","","IGI Global, Hershey, PA.","2328-8205","Y","N","Y"
"Adv. Nonlinear Anal.","Advances in Nonlinear Analysis","","De Gruyter, Berlin.","2191-9496","N","Y","N"
"Adv. Nonlinear Stud.","Advanced Nonlinear Studies","","De Gruyter, Berlin.","1536-1365","N","Y","N"
"Adv. Oper. Res.","Advances in Operations Research","","Hindawi, London.","1687-9147","N","N","N"
"Adv. Oper. Theory","Advances in Operator Theory","","Tusi Math. Res. Group (TMRG), Mashhad.","2538-225X","Y","N","N"
"Adv. Partial Differ. Equ. (Basel)","Advances in Partial Differential Equations (Basel)","","Springer, Basel.","","N","N","Y"
"Adv. Probab. Theory","Advances in Probability Theory","","Optimization Software, New York.","","Y","N","Y"
"Adv. Psych.","Advances in Psychology","","North-Holland, Amsterdam.","","Y","N","Y"
"Adv. Pure Appl. Math.","Advances in Pure and Applied Mathematics","","De Gruyter, Berlin.","1867-1152","N","Y","N"
"Adv. Quant. Anal. Finance Account.","Advances in Quantitative Analysis of Finance and Accounting","","World Sci. Publ., Hackensack, NJ.","1793-0952","Y","N","Y"
"Adv. Sci. Tech. USSR Chem. Ser.","Advances in Science and Technology in the USSR: Chemistry Series","","CRC, Boca Raton, FL.","","Y","N","Y"
"Adv. Ser. Appl. Phys.","Advanced Series in Applied Physics","","World Sci. Publ., River Edge, NJ.","","Y","N","Y"
"Adv. Ser. Dir. High Energy Phys.","Advanced Series on Directions in High Energy Physics","","World Sci. Publ., Hackensack, NJ.","0218-0324","N","N","Y"
"Adv. Ser. Math. Psychol.","Advanced Series on Mathematical Psychology","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Ser. Nonlinear Dynam.","Advanced Series in Nonlinear Dynamics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Ser. Stat. Sci. Appl. Probab.","Advanced Series on Statistical Science & Applied Probability","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Spat. Sci.","Advances in Spatial Science","","Springer, Heidelberg.","1430-9602","N","N","Y"
"Adv. Struct. Mater.","Advanced Structured Materials","","Springer, Cham.","1869-8433","N","N","Y"
"Adv. Stud. Pure Math.","Advanced Studies in Pure Mathematics","","Math. Soc. Japan, Tokyo.","","N","N","Y"
"Adv. Stud. Pure Math.","Advanced Studies in Pure Mathematics","","North-Holland, Amsterdam.","","N","N","Y"
"Adv. Stud. Theoret. Appl. Econometrics","Advanced Studies in Theoretical and Applied Econometrics","","Springer, Dordrecht.","1570-5811","N","N","Y"
"Adv. Textb. Control Signal Process.","Advanced Textbooks in Control and Signal Processing","","Springer, Cham.","1439-2232","N","N","Y"
"Adv. Textb. Math.","Advanced Textbooks in Mathematics","","World Sci. Publ., Hackensack, NJ.","2059-769X","N","N","Y"
"Adv. Theor. Math. Phys.","Advances in Theoretical and Mathematical Physics","","Int. Press, Somerville, MA.","1095-0761","N","Y","N"
"Adv. Topics Mech. Engrg. Ser.","Advanced Topics in Mechanical Engineering Series","","CRC, Boca Raton, FL.","","Y","N","Y"
"Aequationes Math.","Aequationes Mathematicae","","Birkhauser Verlag, Basel.","0001-9054","N","Y","N"
"Afd. Inform.","Afdeling Informatica","Department of Computer Science","Math. Centrum, Amsterdam.","","Y","N","Y"
"Afd. Numer. Wisk.","Afdeling Numerieke Wiskunde","Department of Numerical Mathematics","Math. Centrum, Amsterdam.","","Y","N","Y"
"AFIPS Conf. Proc.","AFIPS Conference Proceedings","","AFIPS Press, Arlington, VA.","","Y","N","Y"
"Afr. Diaspora J. Math.","African Diaspora Journal of Mathematics","","Math. Res. Publ., Washington, DC.","1539-854X","N","Y","N"
"Afr. Mat.","Afrika Matematika","","Springer, Berlin.","1012-9405","N","Y","N"
"Afr. Math. Ann. AFMA","Africa Mathematics Annals. AFMA. A Pan African Journal of Mathematics","","Afr. Math. Ann., Abidjan.","2305-3836","N","N","N"
"Afr. Stat.","Afrika Statistika","","The Statistics and Probability African Society, Saint-Louis.","2316-090X","N","Y","N"
"Agora Math.","Agora Mathematica","","Gauthier-Villars, Montrouge.","","Y","N","Y"
"AI Commun.","AI Communications. The European Journal on Artificial Intelligence","","IOS, Amsterdam.","0921-7126","N","N","N"
"AIMS Libr. Ser.","African Institute of Mathematics (AIMS) Library Series","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"AIMS Ser. Appl. Math.","AIMS Series on Applied Mathematics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","N","N","Y"
"AIMS Ser. Differ. Equ. Dyn. Syst.","AIMS Series on Differential Equations & Dynamical Systems","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","N","N","Y"
"AIMS Ser. Random Comput. Dyn.","AIMS Series on Random and Computational Dynamics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","N","N","Y"
"AKCE Int. J. Graphs Comb.","AKCE International Journal of Graphs and Combinatorics","","Elsevier B. V., Amsterdam.","0972-8600","N","Y","N"
"Albanian J. Math.","Albanian Journal of Mathematics","","Albanian J. Math., Vlore.","1930-1235","N","Y","N"
"Alber-Reihe Philos.","Alber-Reihe: Philosophie","Alber Series: Philosophy","Alber, Freiburg.","","Y","N","Y"
"ALEA Lat. Am. J. Probab. Math. Stat.","ALEA. Latin American Journal of Probability and Mathematical Statistics","","Inst. Mat. Pura Apl. (IMPA), Rio de Janeiro.","1980-0436","N","Y","N"
"ALEF","ALEF","","Aracne, Rome.","","Y","N","Y"
"Algebr. Appl.","Algebra and Applications","","Springer, Cham.","1572-5553","N","N","Y"
"Algebr. Comb.","Algebraic Combinatorics","","MathOA, Amsterdam.","2589-5486","Y","Y","N"
"Algebr. Geom.","Algebraic Geometry","","Foundation Compositio Mathematics, Amsterdam.","2214-2584","N","Y","N"
"Algebr. Geom. Topol.","Algebraic & Geometric Topology","","Math. Sci. Publ., Berkeley, CA.","1472-2747","N","Y","N"
"Algebr. Represent. Theory","Algebras and Representation Theory","","Springer, Dordrecht.","1386-923X","N","Y","N"
"Algebra Appl. Class. Mod.","L'Algebra e le sue Applicazioni tra Classico e Moderno","Algebra and its Applications: Classical and Modern","Aracne, Rome.","","N","N","Y"
"Algebra Colloq.","Algebra Colloquium","","World Sci. Publ., Singapore.","1005-3867","N","Y","N"
"Algebra Discrete Math.","Algebra and Discrete Mathematics","","Lugansk Taras Shevchenko Natl. Univ., Lugansk.","1726-3255","N","Y","N"
"Algebra i Analiz","Rossiiskaya Akademiya Nauk. Algebra i Analiz","","``Nauka'' S.-Peterburg. Otdel., St. Petersburg.","0234-0852","N","Y","N"
"Algebra Logic","Algebra and Logic","","Springer, New York.","0002-5232","N","N","N"
"Algebra Logika","Algebra i Logika. Institut Diskretnoi Matematiki i Informatiki","","Sib. Fond Algebry Log., Novosibirsk.","0373-9252","N","Y","N"
"Algebra Number Theory","Algebra & Number Theory","","Math. Sci. Publ., Berkeley, CA.","1937-0652","N","Y","N"
"Algebra Universalis","Algebra Universalis","","Birkhauser Verlag, Basel.","0002-5240","N","Y","N"
"Algorithmic Finance","Algorithmic Finance","","IOS, Amsterdam.","2158-5571","N","N","N"
"Algorithmica","Algorithmica. An International Journal in Computer Science","","Springer, New York.","0178-4617","N","Y","N"
"Algorithms (Basel)","Algorithms (Basel)","","MDPI, Basel.","1999-4893","N","N","N"
"Algorithms Combin.","Algorithms and Combinatorics","","Springer, Heidelberg.","0937-5511","N","N","Y"
"Algoritmica","Algoritmica","","Aracne, Rome.","","N","N","Y"
"Aligarh Bull. Math.","The Aligarh Bulletin of Mathematics","","Aligarh Muslim Univ., Aligarh.","0304-9787","N","Y","N"
"Aligarh J. Statist.","The Aligarh Journal of Statistics","","Aligarh Muslim Univ., Aligarh.","0971-0388","N","N","N"
"Alkalmaz. Mat. Lapok","Alkalmazott Matematikai Lapok","","Magyar Tudomanyos Akad., Budapest.","0133-3399","N","Y","N"
"AMD","AMD","","Amer. Soc. Mech. Engrs. (ASME), New York.","","Y","N","Y"
"Amer. J. Math.","American Journal of Mathematics","","Johns Hopkins Univ. Press, Baltimore, MD.","0002-9327","N","Y","N"
"Amer. Math. Monthly","American Mathematical Monthly","","Taylor & Francis, Abingdon.","0002-9890","N","N","N"
"Amer. Math. Soc. Colloq. Publ.","American Mathematical Society Colloquium Publications","","Amer. Math. Soc., Providence, RI.","0065-9258","N","N","Y"
"Amer. Math. Soc. Transl. Ser. 2","American Mathematical Society Translations, Series 2","","Amer. Math. Soc., Providence, RI.","0065-9290","N","N","Y"
"Amer. Philos. Quart. Monogr. Ser.","American Philosophical Quarterly Monograph Series","","Blackwell, Oxford.","","Y","N","Y"
"Amer. Statist.","The American Statistician","","Amer. Statist. Assoc., Alexandria, VA.","0003-1305","N","N","N"
"AMS Short Course Lecture Notes","AMS Short Course Lecture Notes","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"Amst. Stud. Theory Hist. Linguist. Sci. Ser. III Stud. Hist. Lang. Sci.","Amsterdam Studies in the Theory and History of Linguistic Science. Series III: Studies in the History of the Language Sciences","","Benjamins, Amsterdam.","","Y","N","Y"
"An. Acad. Brasil. Cienc.","Anais da Academia Brasileira de Ciencias. Annals of the Brazilian Academy of Sciences","","Acad. Brasil. Cienc., Rio de Janeiro.","0001-3765","N","N","N"
"An. Stiint. Univ. Al. I. Cuza Iasi. Mat. (N.S.)","Analele Stiintifice ale Universitatii ``Al. I. Cuza'' din Iasi. Serie Noua. Matematica. Annals of the Alexandru Cuza University. Mathematics","","Univ. Al. I. Cuza, Iasi.","1221-8421","N","Y","N"
"An. Stiint. Univ. ``Ovidius'' Constanta Ser. Mat.","Analele Stiintifice ale Universitatii ``Ovidius'' Constanta. Seria Matematica. Mathematical Journal of the Ovidius University of Constantza","","Univ. ``Ovidius'' Constanta, Constanta.","1224-1784","N","Y","N"
"An. Univ. Bucur. Inform.","Analele Universitatii Bucuresti. Informatica","","Univ. Bucharest, Bucharest.","1224-7170","N","Y","N"
"An. Univ. Craiova Ser. Mat. Inform.","Analele Universitatii din Craiova. Seria Matematica-Informatica. Annals of the University of Craiova. Mathematics and Computer Science Series","","Univ. Craiova, Craiova.","1223-6934","N","N","N"
"An. Univ. Dunarea de Jos Galati Fasc. II Mat. Fiz. Mec. Teor.","Analele Universitatii ``Dunarea de Jos'' din Galati. Fascicula II. Matematica, Fizica, Mecanica Teoretica. Annals of the ``Dunarea de Jos'' University of Galati. Fascicle II. Mathematics, Physics, Theoretical Mechanics","","Galati University Press, Galati.","2067-2071","N","N","N"
"An. Univ. Oradea Fasc. Mat.","Analele Universitatii din Oradea. Fascicola Matematica","","Univ. Oradea, Oradea.","1221-1265","N","Y","N"
"An. Univ. Spiru Haret. Ser. Mat.-Inform.","Analele Universitatii Spiru Haret. Seria Matematica-Informatica. Annals of Spiru Haret University. Mathematics-Informatics Series","","Ed. Fundatiei Rom. Maine, Bucharest.","1841-7833","N","N","N"
"An. Univ. Vest Timis. Ser. Mat.-Inform.","Analele. Universitatii de Vest din Timisoara. Seria Matematica-Informatica. Annals of West University of Timisoara. Mathematics and Computer Science","","Univ. Vest Timisoara, Fac. Mat. Inform., Timisoara.","1841-3293","N","Y","N"
"Anal. Appl. (Singap.)","Analysis and Applications","","World Sci. Publ., Singapore.","0219-5305","N","Y","N"
"Anal. Geom. Metr. Spaces","Analysis and Geometry in Metric Spaces","","De Gruyter Open, Berlin.","2299-3274","N","Y","N"
"Anal. Geom. Number Theory","Analysis, Geometry and Number Theory. An International Journal","","Fabrizio Serra Editore, Pisa.","2531-7741","Y","Y","N"
"Anal. Math.","Analysis Mathematica","","Akad. Kiado, Budapest.","0133-3852","N","Y","N"
"Anal. Math. Phys.","Analysis and Mathematical Physics","","Birkhauser Verlag, Basel.","1664-2368","N","Y","N"
"Anal. Methods Soc. Res.","Analytical Methods for Social Research","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Anal. PDE","Analysis & PDE","","Math. Sci. Publ., Berkeley, CA.","2157-5045","N","Y","N"
"Anal. Spectrosc. Lib.","Analytical Spectroscopy Library","","Elsevier, Amsterdam.","","Y","N","Y"
"Anal. Theory Appl.","Analysis in Theory and Applications","","Glob. Sci. Pr., Hong Kong.","1672-4070","N","Y","N"
